Station_Num,Station_Name,Daily_ppt_in,Multy_dat_ppt_in,Total_ppt_in,Total_Snow_in,# of Reports,Latitude,Longitude
 NC-CR-45,Morehead City 2.4 WNW,56.81,0.64,57.45,0,346,34.734492,-76.772506
 NC-CR-49,Emerald Isle 2.3 WSW,42.11,4.29,46.4,0,354,34.65437114,-77.06712574
 NC-CR-61,Morehead City 1.4 NNW,1.46,,1.46,0,1,34.74196,-76.745903
 NC-CR-65,Davis 0.5 SW,8.32,,8.32,0,36,34.791344,-76.466119
 NC-CR-70,Beaufort 1.5 NNW,40.22,8.87,49.09,0,284,34.742526,-76.659896
 NC-CR-72,Indian Beach 0.0 W,35.05,0.91,35.96,0,280,34.685822,-76.894913
 NC-CR-73,Pine Knoll Shores 1.4 E,48.4,,48.4,0,334,34.698465,-76.7939278
 NC-CR-74,Newport 1.0 N,50.25,,50.25,0,356,34.80241098,-76.86422937
 NC-CR-75,Pine Knoll Shores 0.3 NE,51.93,,51.93,0,347,34.698233,-76.814932
 NC-CR-95,Cape Carteret 0.8 N,37.84,0.9,38.74,0,345,34.70579,-77.05772
 NC-CR-98,Swansboro 3.0 NE,51.79,,51.79,0,356,34.72542953,-77.09806061
 NC-CR-104,Morehead City 5.7 W,52.2,,52.2,0,342,34.7374,-76.8315
 NC-CR-107,Cedar Point 0.9 WSW,46.41,0.03,46.44,0,320,34.674481,-77.094795
 NC-CR-109,Cape Carteret 0.8 NE,36.35,9.38,45.73,0,139,34.70198059,-77.04959869
 NC-CR-114,Beaufort 15.1 N,40.68,3.91,44.59,0,313,34.93966,-76.62863
 NC-CR-120,Atlantic Beach 0.6 W,47.9,,47.9,0,330,34.6987,-76.7497
 NC-CR-121,Williston 0.9 SW,20.23,12.12,32.35,0,192,34.778282,-76.514472
 NC-CR-128,Emerald Isle 0.2 ENE,37.28,2,39.28,0,271,34.667778,-77.025556
 NC-CR-130,Harkers Island 2.1 ESE,29.39,,29.39,0,221,34.6856,-76.526
 NC-CR-133,Morehead City 5.1 WNW,43.62,,43.62,0,79,34.739712,-76.820471
 NC-CR-134,Newport 10.3 SW,20.51,,20.51,0,24,34.69703,-77.00438
 NC-CR-135,Cedar Island 0.6 SSE,37.31,0.59,37.9,0,232,35.00032,-76.31053
 NC-CR-136,Beaufort 3.8 N,21.84,0.38,22.22,0,113,34.77599,-76.66529
 NC-CR-137,Cedar Point 0.4 WSW,12.16,,12.16,0,92,34.67885,-77.08712
 NC-CR-138,Beaufort 3.4 NNW,10,1.23,11.23,0,106,34.7694,-76.6694
 NC-CR-139,Beaufort 0.5 W,30.28,0.62,30.9,0,148,34.721443,-76.661865
 NC-CS-1,Hyco,1.86,1.06,2.92,0,21,36.46433,-79.157921
 NC-CS-2,Mebane 11.2 N,49.97,,49.97,0,353,36.251023,-79.238215
 NC-CS-5,Yanceyville 2.4 SW,45.36,2,47.36,0,322,36.379289,-79.369125
 NC-CS-7,Leasburg 3.8 S,0.76,1.58,2.34,0,3,36.339569,-79.159437
 NC-CS-10,Yanceyville 3.1 NNW,1.1,,1.1,0,8,36.449532,-79.363486
 NC-CT-5,Millersville 2.0 S,59.82,0.27,60.09,0,122,35.820033,-81.188083
 NC-CT-6,Sherrills Ford 2.4 WNW,24.41,5.64,30.05,0,242,35.593812,-81.027951
 NC-CT-10,Hickory 4.8 SW,53.18,0,53.18,0,233,35.685811,-81.40331
 NC-CT-25,Conover 2.8 NE,46.99,7.76,54.75,0,307,35.732117,-81.177032
 NC-CT-27,Hickory 5.3 NE,48.61,14.48,63.09,0,332,35.78706,-81.25164
 NC-CT-35,Claremont 6.7 NNW,23.67,,23.67,0,35,35.8074,-81.1821
 NC-CT-37,Newton 3.4 S,54.51,0.19,54.7,0,304,35.61579,-81.21682
 NC-CT-38,Maiden 3.6 W,50.86,0.49,51.35,0,348,35.56687,-81.26869
 NC-CT-39,Newton 2.9 SE,36.17,15.14,51.31,0,314,35.635138,-81.183106
 NC-CT-42,Maiden 5.7 ENE,36.28,,36.28,0,285,35.60639,-81.11102
 NC-CT-43,Brookford 0.3 NNW,43.64,1.35,44.99,0,165,35.706729,-81.348035
 NC-CT-44,Hickory 1.5 N,18.89,0,18.89,0,126,35.76074,-81.32357
 NC-CH-4,Goldston 3.8 N,48.62,,48.62,0,352,35.648565,-79.33607
 NC-CH-6,Siler City 2.7 SSW,49.97,2.06,52.03,0,345,35.68886,-79.48052
 NC-CH-15,Pittsboro 5.0 NE,42.76,6.32,49.08,0,321,35.779859,-79.124435
 NC-CH-16,Apex 9.2 WNW,38.12,1.62,39.74,0,349,35.77207184,-78.99810028
 NC-CH-17,Pittsboro 6.2 NE,48.99,,48.99,0,354,35.791449,-79.107356
 NC-CH-18,Pittsboro 5.9 N,34.62,6.48,41.1,0,70,35.80501556,-79.17443848
 NC-CH-20,Cary 7.5 WNW,34.21,12.31,46.52,0,294,35.837442,-78.915434
 NC-CH-23,Pittsboro 5.4 WSW,38.74,7.99,46.73,0,298,35.69876862,-79.2668457
 NC-CH-24,Sanford 10.0 N,47.53,,47.53,0,316,35.620648,-79.201603
 NC-CH-26,Siler City 7.2 NE,39.82,,39.82,0,297,35.806955,-79.382361
 NC-CH-27,Pittsboro 7.0 N,22.31,21.43,43.74,0,203,35.81934357,-79.16055298
 NC-CH-28,Siler City 0.6 E,37.58,12.81,50.39,0,315,35.723943,-79.451757
 NC-CH-29,Pittsboro 3.5 NW,44.69,3.65,48.34,0,339,35.748848,-79.226081
 NC-CH-30,Pittsboro 5.9 SE,3.11,,3.11,0,4,35.669049,-79.089131
 NC-CH-35,Pittsboro 8.2 N,41.12,6.98,48.1,0,328,35.836262,-79.146446
 NC-CH-36,Apex 7.8 NW,43.58,2.3,45.88,0,346,35.8149,-78.9297
 NC-CH-38,Pittsboro 6.7 NE,35.91,,35.91,0,97,35.800088,-79.10692
 NC-CH-40,Chapel Hill 6.6 S,0.16,,0.16,0,2,35.83413,-79.06232
 NC-CH-41,Pittsboro 3.3 NNW,23.1,5.06,28.16,0,207,35.766312,-79.188988
 NC-CK-7,Murphy 15.5 WNW,68.75,,68.75,0,354,35.140428,-84.296128
 NC-CK-14,Murphy 7.0 SSW,50.28,,50.28,0.3,105,35.007089,-84.090639
 NC-CK-18,Murphy 2.5 ESE,66.9,,66.9,0,132,35.07662,-83.9881
 NC-CK-19,Murphy 15.7 WSW,18.48,0.62,19.1,0.3,123,35.003513,-84.282741
 NC-CW-15,Edenton 0.9 N,36.24,1.22,37.46,0,316,36.069066,-76.604882
 NC-CW-20,Edenton 4.3 SE,42.38,,42.38,0,350,36.011352,-76.548417
 NC-CW-21,Edenton 0.3 NW,24.17,,24.17,0,45,36.059315,-76.605598
 NC-CW-22,Edenton 2.0 W,38.01,,38.01,0,56,36.056938,-76.637672
 NC-CW-25,Colerain 5.7 ENE,39.34,9.04,48.38,0,283,36.23458,-76.67548
 NC-CW-38,Tyner 2.4 SW,0,,0,0,1,36.232701,-76.655448
 NC-CW-39,Edenton 12.8 NNW,8.74,,8.74,0,18,36.220123,-76.708587
 NC-CW-43,Edenton 1.1 NNW,3.14,,3.14,0,9,36.07113,-76.60852
 NC-CW-49,Edenton 2.4 SSE,11.12,,11.12,0,5,36.02435,-76.58272
 NC-CW-52,Edenton 1.0 NNW,8.5,,8.5,0,10,36.069267,-76.608204
 NC-CW-53,Edenton 2.6 SE,22.81,1.07,23.88,0,112,36.0252,-76.57585
 NC-CW-54,Edenton 1.0 NNW,1.02,,1.02,0,3,36.06973,-76.607934
 NC-CW-55,Edenton 1.1 WNW,15.81,,15.81,0,141,36.059698,-76.620559
 NC-CW-56,Edenton 5.6 NW,7.85,,7.85,0,11,36.12199,-76.65962
 NC-CY-3,Hayesville 5.2 E,70.25,,70.25,0,356,35.054,-83.728
 NC-CV-14,Casar 0.8 SSW,46.54,1.5,48.04,0,178,35.5022049,-81.6235199
 NC-CV-17,Polkville 0.8 NNW,47.88,,47.88,0,83,35.427228,-81.650265
 NC-CV-18,Lawndale 6.7 NW,0,,0,0,1,35.46893692,-81.65931702
 NC-CV-19,Mooresboro 2.7 SW,53.86,0.04,53.9,0,339,35.268827,-81.73053
 NC-CV-23,Shelby 1.7 NNW,33.95,6.46,40.41,0,290,35.31206894,-81.55135345
 NC-CV-25,Boiling Springs 1.1 N,10.5,4.16,14.66,0,68,35.264446,-81.669784
 NC-CV-26,Shelby 3.5 N,51.97,,51.97,0,344,35.33964157,-81.5329895
 NC-CV-31,Waco 1.9 SSE,6.51,,6.51,0,2,35.33522,-81.4225
 NC-CV-32,Lawndale 0.1 NW,71.14,,71.14,0,350,35.415367,-81.562792
 NC-CV-33,Shelby 1.9 E,29.21,0,29.21,0,216,35.28512,-81.50952
 NC-CV-35,Shelby 4.3 ENE,14.01,,14.01,0,91,35.31387,-81.4715
 NC-CV-36,Polkville 3.8 N,9.08,,9.08,0,55,35.4703,-81.6568
 NC-CL-3,Chadbourn 1.1 NNW,25.2,,25.2,0,205,34.3373,-78.833674
 NC-CL-19,Lake Waccamaw 3.9 SE,19.21,,19.21,0,21,34.278246,-78.467781
 NC-CL-21,Evergreen 3.3 NE,8.4,4,12.4,0,37,34.43657303,-78.85473633
 NC-CL-25,Whiteville 6.1 NW,37.2,5.45,42.65,0,330,34.379617,-78.792861
 NC-CL-26,Tabor City 3.5 NE,17.24,,17.24,0,74,34.18957901,-78.8360672
 NC-CL-27,Whiteville 0.4 NE,13.02,7,20.02,0,85,34.333971,-78.700582
 NC-CN-4,James City 1.7 WSW,48.8,1.15,49.95,0,188,35.053063,-77.044811
 NC-CN-9,New Bern 1.3 NNE,47.77,1.46,49.23,0,353,35.13871,-77.07385
 NC-CN-15,Trent Woods 1.3 SSE,53.03,1.28,54.31,0,327,35.055587,-77.086014
 NC-CN-16,New Bern 4.9 SSE,0.04,,0.04,0,2,35.058496,-77.035957
 NC-CN-18,James City 3.9 SSE,16.59,14.3,30.89,0,40,35.00952,-77.004064
 NC-CN-20,Havelock 1.4 SW,43.73,5,48.73,0.8,109,34.89571,-76.916094
 NC-CN-22,New Bern 1.4 WSW,46.51,,46.51,0,258,35.114168,-77.102334
 NC-CN-24,New Bern 8.9 SSE,24.73,2.85,27.58,0,66,35.01025,-76.997365
 NC-CN-30,New Bern 7.3 ESE,45.62,1.18,46.8,0,341,35.07766342,-76.96113586
 NC-CN-31,New Bern 8.8 W,28.36,14.25,42.61,0,274,35.141027,-77.232407
 NC-CN-32,Neuse Forest 2.5 NW,14.94,,14.94,0,107,34.99256897,-76.97055054
 NC-CN-34,James City 2.0 S,42.95,0.35,43.3,0,308,35.036296,-77.021226
 NC-CN-42,New Bern 7.7 NE,4.89,,4.89,0,1,35.196187,-76.978675
 NC-CN-44,New Bern 5.3 SW,41.92,6.29,48.21,0,332,35.07467651,-77.15361023
 NC-CN-48,New Bern 4.2 S,37.32,13.47,50.79,0,268,35.05928802,-77.08300781
 NC-CN-61,New Bern 4.6 SW,49.42,0.34,49.76,0,349,35.074647,-77.137348
 NC-CN-63,New Bern 5.2 SE,40.74,5.11,45.85,0.3,330,35.064403,-77.01576
 NC-CN-66,River Bend 0.8 ENE,32.23,4.42,36.65,0,190,35.076023,-77.139175
 NC-CN-67,Trent Woods 1.0 NNE,51.23,,51.23,0,347,35.090558,-77.089713
 NC-CN-74,New Bern 2.6 SW,51.38,,51.38,0,316,35.08924484,-77.10475159
 NC-CN-79,New Bern 7.8 SSE,29.28,,29.28,0,183,35.02338,-77.00581
 NC-CN-85,New Bern 7.4 ESE,7.14,,7.14,0,73,35.0788,-76.9584
 NC-CN-86,New Bern 1.5 NW,43.72,5.4,49.12,0,312,35.134061,-77.098194
 NC-CN-89,Trent Woods 1.2 ENE,51.47,,51.47,0,349,35.087335,-77.078864
 NC-CN-93,Havelock 1.9 SSE,37.03,6.38,43.41,0.3,344,34.880585,-76.886178
 NC-CN-94,New Bern 3.8 S,46.94,0.98,47.92,0,316,35.0652,-77.07789
 NC-CN-96,Trent Woods 0.9 WNW,47.28,,47.28,0,299,35.083451,-77.111011
 NC-CN-98,New Bern 6.1 SE,18.54,5.26,23.8,0,99,35.05356,-77.00863
 NC-CN-99,New Bern 5.0 SE,7.46,8.49,15.95,0,79,35.06852,-77.01636
 NC-CN-100,Havelock 2.6 S,6.23,1.2,7.43,0,40,34.869173,-76.891592
 NC-CN-102,New Bern 4.9 SW,26.13,,26.13,0,175,35.07419,-77.14574
 NC-CN-103,New Bern 3.0 WSW,31.87,0.36,32.23,0,169,35.10477,-77.12799
 NC-CM-1,Fayetteville 2.4 S,38.09,6.09,44.18,0,283,35.036733,-78.906833
 NC-CM-3,Fayetteville 3.2 SSW,36.03,,36.03,0,56,35.0282,-78.9164
 NC-CM-5,Fayetteville 4.4 SW,40.02,4.89,44.91,0,292,35.023718,-78.950863
 NC-CM-6,Hope Mills 8.3 SE,46.85,,46.85,0,355,34.880642,-78.860023
 NC-CM-8,Fayetteville 1.6 WSW,48.67,4.48,53.15,0,317,35.064246,-78.926823
 NC-CM-10,Fayetteville 9.9 SW,34.72,,34.72,0,261,34.972951,-79.0308
